Wind Tip Ratio,Wind velocity,Turbine Radius,Inlet-x (m/s),Inlet-y (m/s),Inlet-z(m/s),omega(rad/s),Residuals,Pressure Torque,Viscous Torque,Sum Torque,Total Torque,Power
8,3,44.2,0,0,-3,-0.5429864253,1.00E-06,-9580.5183,1412.0334,-17880.4849,-53641.4547,29126.58174
7.99999,3.5,44.2,0,0,-3.5,-0.633484163,1.00E-06,-13100.069,1853.3428,-20958.7262,-62876.1786,39831.06337
8,4,44.2,0,0,-4,-0.7239819,1.00E-06,-17198.721,2345.8392,-24564.882,-73694.646,53353.58983
8,4.5,44.2,0,0,-4.5,-0.814479638,1.00E-06,-21847.252,2890.2035,-28669.0485,-86007.1455,70051.06873
8,5,44.2,0,0,-5,-0.90314,1.00E-06,-27222.316,3466.4971,-33467.818,-100403.454,90678.37545
8,6,44.2,0,0,-6,-1.0859728,1.00E-06,-39194.267,4814.3395,-44091.928,-132275.784,143647.9035
8,7,44.2,0,0,-7,-1.2669683,1.00E-06,-53595.183,6332.5087,-56974.674,-170924.022,216555.3176
8,8,44.2,0,0,-8,-1.447963801,1.00E-06,-70279.445,8033.2262,-71958.219,-215874.657,312578.6889
8,9,44.2,0,0,-9,-1.628959276,1.00E-06,-89435.496,9910.4693,-89237.027,-267711.081,436090.4487
8,9.2,44.2,0,0,-9.2,-1.665158,1.00E-06,-93506.509,10306.864,-92911.644,-278734.932,464137.7019
8,9.4,44.2,0,0,-9.4,-1.701357,1.00E-06,-97569.496,10710.37,-96571.126,-289713.378,492905.8837
7.9999999,9.6,44.2,0,0,-9.6,-1.737556561,1.00E-06,-101829.88,11120.463,-100421.414,-301264.242,523463.6603
8,10,44.2,0,0,-10,-1.809954,1.00E-06,-110499.92,11961.184,-108250.738,-324752.214,587786.5687
8,11,44.2,0,0,-11,-1.99095,1.00E-06,-134198.37,14180.866,-129729.5,-389188.5,774854.8441
8,12,44.2,0,0,-12,-2.22,1.00E-06,-149717.53,17458.043,-141971.48,-425914.44,945530.0568
7.99947,12.2,44.2,0,0,-12.2,-2.208,1.00E-06,-165430.43,17062.353,-158080.07,-474240.21,1047122.384
8,12.4,44.2,0,0,-12.4,-2.2443439,1.00E-06,-170987.12,17568.809,-163130.31,-489390.93,1098361.548
7.999999999,12.6,44.2,0,0,-12.6,-2.280542986,1.00E-06,-176677.39,18079.169,-168310.22,-504930.66,1151516.075
7.99999999,12.8,44.2,0,0,-12.8,-2.316742081,1.00E-06,-182306.06,18595.789,-173422.27,-520266.81,1205324.012
8,13,44.2,0,0,-13,-2.352941176,1.00E-06,-188177.31,19113.989,-178775.32,-536325.96,1261943.435
7.999999,13.2,44.2,0,0,-13.2,-2.389140271,1.00E-06,-194087.67,19643.795,-184155.88,-552467.64,1319922.687
8,13.4,44.2,0,0,-13.4,-2.425339367,1.00E-06,-200102.64,20179.887,-189634.75,-568904.25,1379785.874
8,13.6,44.2,0,0,-13.6,-2.461538462,1.00E-06,-206112.23,20719.884,-195104.35,-585313.05,1440770.585
8,13.8,44.2,0,0,13.8,-2.497737557,1.00E-06,-212296.2,21268.791,-200739.4,-602218.2,1504183.016
8,14,44.2,0,0,-14,-2.533936652,1.00E-06,-218570.21,21824.091,-206458.12,-619374.36,1569455.392
